team,score
Edmonton Aurors Quidditch Club,1524.0
Vancouver Storm Crows Quidditch Club,1524.0
SFU Quidditch,1508.0
UBC Thunderbirds SC,1492.0
University of Victoria Valkyries,1492.0
UBC Quidditch Club,1484.0
Sabertooths Quidditch Club,1476.0
